rlwrap ../../../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
6670 586 112 149 
6668 586 112 148 
6669 586 115 151 
6670 585 116 151 
6670 584 116 154 
6670 585 118 155 
6670 584 117 154 
6670 585 118 155 
6669 585 118 156 
6670 585 119 157 
6670 585 120 158 
6670 586 119 158 
6668 586 120 157 
6667 586 115 154 
6666 586 114 156 
6666 587 119 159 
6668 587 120 161 
6668 588 120 161 
6666 588 121 163 
6666 588 120 162 
6667 588 121 162 
6666 588 120 163 
6666 588 122 165 
6666 588 121 163 
6666 588 123 165 
6666 590 124 166 
6667 590 124 167 
6668 590 123 166 
6667 590 124 168 
6667 590 126 167 
6667 590 124 168 
6668 590 123 168 
6667 590 125 167 
6667 590 124 168 
6667 590 123 168 
6668 590 126 169 
6667 588 126 169 
6668 588 124 168 
6666 588 125 171 
6666 586 126 169 
6667 586 123 166 
6667 586 124 168 
6667 586 125 168 
6668 586 125 169 
6668 586 125 171 
6668 588 127 171 
6668 590 126 172 
6667 592 126 172 
6668 592 126 173 
6667 592 125 157 
6668 592 128 173 
6667 592 128 175 
6668 590 127 174 
6668 590 125 158 
6668 590 125 159 
6667 590 125 160 
6667 590 126 175 
6668 590 128 175 
6668 590 127 162 
6668 590 129 161 
6668 590 129 175 
6666 590 130 164 
6668 590 128 162 
6668 590 128 163 
6667 590 128 163 
6667 590 128 163 
6667 590 128 163 
6667 590 129 165 
6667 590 130 166 
6667 589 131 166 
6666 588 130 167 
6666 589 129 166 
6666 588 132 167 
6666 589 129 166 
6666 588 132 165 
6666 588 133 169 
6665 588 131 168 
6665 588 134 171 
6664 588 134 170 
6664 589 134 171 
6664 589 134 171 
6663 590 134 171 
6664 590 135 171 
6664 590 134 171 
6664 590 134 171 
6663 590 132 170 
6663 590 134 171 
6665 592 134 169 
6665 591 136 171 
6664 592 131 170 
6664 591 134 171 
6664 590 133 170 
6664 590 133 170 
6664 590 133 170 
6664 590 132 169 
6664 590 131 166 
6665 590 131 165 
6664 590 129 162 
6665 590 131 163 
6664 590 128 163 
6664 590 129 163 
6664 590 129 164 
6664 590 129 164 
6664 590 129 164 
6664 590 129 164 
6663 590 130 165 
6663 590 130 164 
6662 590 129 162 
6662 589 129 164 
6662 590 129 164 
6662 589 130 165 
6660 590 128 166 
6663 590 131 165 
6661 590 127 181 
6660 590 130 165 
6662 590 129 165 
6661 590 132 181 
6662 590 131 167 
6661 590 131 166 
6661 590 132 167 
6660 590 131 166 
6660 591 131 165 
6660 591 131 166 
6660 591 130 165 
6659 592 131 167 
6658 592 130 165 
6658 592 130 165 
6658 594 131 165 
6657 594 129 165 
6658 594 130 164 
6658 594 130 164 
6659 594 129 160 
6659 594 125 171 
6658 595 128 175 
6658 594 128 155 
6658 594 127 173 
6658 594 123 170 
6657 594 124 170 
6656 594 125 173 
6658 595 124 170 
6658 595 123 155 
6658 597 124 171 
6658 598 124 171 
6657 598 119 169 
6656 599 124 170 
6656 599 124 170 
6656 600 123 169 
6657 600 121 168 
6659 602 122 168 
6656 601 122 167 
6656 600 122 166 
6658 600 120 165 
6657 600 120 165 
6657 600 121 164 
6658 598 122 167 
6656 598 122 166 
6657 596 121 166 
6657 596 122 166 
6656 595 122 166 
6656 594 120 164 
6656 592 122 166 
